Localidade,Endereco,M2,Preco,R$/M2,Latitude,Longitude,Tipo,Quarto,Banheiro,Vaga
"Apartamento para comprar com 109-111 m², 3 quartos, 4 banheiros, 2 vagas em Velha, Blumenau",Rua Jaraguá,111.0,890000.0,8018.018018018018,-26.9174865,-49.0918161,Apartamento,3,4,2
"Apartamento para comprar com 47 m², 2 quartos, 1 banheiro, 1 vaga em Itoupava Central, Blumenau",Rua Rudolfo Walter,47.0,225000.0,4787.234042553191,-26.8085709,-49.0999448,Apartamento,2,1,1
"Lote/Terreno para comprar com 3593 m² em Ponta Aguda, Blumenau",Rua República Argentina,3593.0,1500000.0,417.4784302811021,-26.9128134,-49.058704,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 1372 m² em Água Verde, Blumenau",Rua General Osório,1372.0,2300000.0,1676.3848396501458,-26.9143717,-49.1098885,Lote/Terreno,0,0,0
"Apartamento para comprar com 54 m², 2 quartos, 1 banheiro, 1 vaga em Progresso, Blumenau",Rua Bruno Schreiber,54.0,190000.0,3518.5185185185187,-27.003948,-49.1092696,Apartamento,2,1,1
"Apartamento para comprar com 29 m², 1 quarto, 1 banheiro, 1 vaga em Velha, Blumenau",,29.0,395000.0,13620.689655172411,-27.0797576,-48.9100801,Apartamento,1,1,1
"Lote/Terreno para comprar com 292 m² em Itoupava Norte, Blumenau",,292.0,597000.0,2044.5205479452052,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 104-105 m², 2 quartos, 2 banheiros, 2 vagas em Velha, Blumenau",Rua Imperatriz Leopoldina,105.0,650000.0,6190.476190476191,-26.9163072,-49.1021769,Apartamento,2,2,2
"Apartamento para comprar com 117-128 m², 3 quartos, 4 banheiros, 3 vagas em Jardim Blumenau, Blumenau",Rua Lauro Mueller,128.0,1464897.0,11444.5078125,-26.9291311,-49.063395,Apartamento,3,4,3
"Lote/Terreno para comprar com 420 m² em Itoupava Norte, Blumenau",Rua Primeiro de Maio,420.0,950000.0,2261.904761904762,-26.8881088,-49.0769869,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 2649 m² em Salto Weissbach, Blumenau",Rua Werner Selzer,2649.0,600000.0,226.5005662514156,-26.9031927,-49.1368914,Lote/Terreno,0,0,0
"Apartamento para comprar com 319 m², 4 quartos, 6 banheiros, 4 vagas em Jardim Blumenau, Blumenau",Rua Frederico Guilherme Busch,319.0,2200000.0,6896.551724137931,-26.9283177,-49.0630777,Apartamento,4,6,4
"Casa para comprar com 400 m², 3 quartos, 4 banheiros, 4 vagas em Água Verde, Blumenau",Rua Gustavo Poepper,400.0,800000.0,2000.0,-26.9123442,-49.1053608,Casa,3,4,4
"Apartamento para comprar com 197 m², 4 quartos, 5 banheiros, 3 vagas em Jardim Blumenau, Blumenau",Rua Lauro Mueller,197.0,3300000.0,16751.269035532994,-26.9291311,-49.063395,Apartamento,4,5,3
"Apartamento para comprar com 116 m², 3 quartos, 4 banheiros, 2 vagas em Escola Agrícola, Blumenau",Rua Gottlieb Reif,116.0,880000.0,7586.206896551724,-26.8904345,-49.0994623,Apartamento,3,4,2
"Apartamento para comprar com 122 m², 3 quartos, 2 banheiros, 1 vaga em Velha, Blumenau",Rua João Pessoa,122.0,600000.0,4918.0327868852455,-26.9240294,-49.1020425,Apartamento,3,2,1
"Lote/Terreno para comprar com 3612 m² em Água Verde, Blumenau",,3612.0,1700000.0,470.6533776301218,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Sala/Conjunto para comprar com 45 m², 1 banheiro, 1 vaga em Centro, Blumenau",Rua Alwin Schrader,45.0,340000.0,7555.555555555556,-26.9232075,-49.0544767,Sala/Conjunto,0,1,1
"Casa para comprar com 106 m², 2 quartos, 3 banheiros, 2 vagas em Velha, Blumenau",Rua Maria Bugmann,106.0,490000.0,4622.641509433963,-26.9139805,-49.113365,Casa,2,3,2
"Lote/Terreno para comprar com 465 m² em Vorstadt, Blumenau",Rua Adolfo Schmalz,465.0,850000.0,1827.956989247312,,,Lote/Terreno,0,0,0
"Apartamento para comprar com 148-149 m², 3 quartos, 4 banheiros, 2 vagas em Vila Nova, Blumenau",,149.0,1300000.0,8724.832214765102,-27.0797576,-48.9100801,Apartamento,3,4,2
"Lote/Terreno para comprar com 785 m² em Água Verde, Blumenau",,785.0,350000.0,445.859872611465,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Casa para comprar com 140 m², 4 quartos, 2 banheiros, 1 vaga em Itoupava Central, Blumenau",Rua Selma Volles,140.0,464620.0,3318.714285714286,-26.7914591,-49.0920881,Casa,4,2,1
"Lote/Terreno para comprar com 426 m² em Água Verde, Blumenau",Rua Carl Wahle,426.0,260000.0,610.3286384976526,-26.910446,-49.1122425,Lote/Terreno,0,0,0
"Apartamento para comprar com 130 m², 3 quartos, 3 banheiros, 3 vagas em Ponta Aguda, Blumenau",Rua Venezuela,130.0,1150000.0,8846.153846153846,-26.9143525,-49.0642946,Apartamento,3,3,3
"Lote/Terreno para comprar com 458 m² em Velha, Blumenau",Rua Leopoldo Wilhelm,458.0,450000.0,982.5327510917032,-26.9238368,-49.1110284,Lote/Terreno,0,0,0
"Apartamento para comprar com 75-76 m², 2 quartos, 2 banheiros, 1 vaga em Água Verde, Blumenau",Rua Tenente Sílvio Delmar Hollenbach,76.0,610000.0,8026.315789473684,-26.9147405,-49.100405,Apartamento,2,2,1
"Lote/Terreno para comprar com 9123 m² em Velha, Blumenau",,9123.0,800000.0,87.69045270196207,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 464 m² em Velha Central, Blumenau",,464.0,269000.0,579.7413793103449,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 170 m², 3 quartos, 1 banheiro, 2 vagas em Tribess, Blumenau",,170.0,398000.0,2341.176470588235,-27.0797576,-48.9100801,Apartamento,3,1,2
"Lote/Terreno para comprar com 494 m² em Badenfurt, Blumenau",Rua Monte Carlo,494.0,185000.0,374.4939271255061,-26.8804115,-49.1199508,Lote/Terreno,0,0,0
"Casa para comprar com 76 m², 2 quartos, 2 banheiros, 1 vaga em Ribeirão Fresco, Blumenau",Rua dos Candangos,76.0,350000.0,4605.263157894737,-26.9272804,-49.0413614,Casa,2,2,1
"Apartamento para comprar com 102-106 m², 3 quartos, 2 banheiros, 2 vagas em Victor Konder, Blumenau",Avenida Martin Luther,106.0,780000.0,7358.490566037736,-26.9074045,-49.072783,Apartamento,3,2,2
"Apartamento para comprar com 185 m², 2 quartos, 3 banheiros, 2 vagas em Vila Nova, Blumenau",,185.0,890000.0,4810.810810810811,-27.0797576,-48.9100801,Apartamento,2,3,2
"Lote/Terreno para comprar com 1674 m² em Água Verde, Blumenau",Rua Dona Emma,1674.0,890000.0,531.6606929510156,-26.9095461,-49.1020345,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 363 m² em Nova Esperança, Blumenau",,363.0,250000.0,688.7052341597796,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 99 m², 2 quartos, 2 banheiros, 2 vagas em Vila Nova, Blumenau",Rua José de Alencar,99.0,735000.0,7424.242424242424,-26.8986849,-49.0893299,Apartamento,2,2,2
"Casa para comprar com 180 m², 3 quartos, 3 banheiros, 2 vagas em Badenfurt, Blumenau",,180.0,850000.0,4722.222222222223,-27.0797576,-48.9100801,Casa,3,3,2
"Lote/Terreno para comprar com 5524 m² em Salto do Norte, Blumenau",Rua Marechal Rondon,5524.0,1600000.0,289.64518464880524,-26.8724023,-49.0960903,Lote/Terreno,0,0,0
"Casa para comprar com 12 m², 2 quartos, 3 banheiros, 2 vagas em Tribess, Blumenau",Rua José Mafra,12.0,450000.0,37500.0,-26.8699847,-49.0513101,Casa,2,3,2
"Lote/Terreno para comprar com 1054 m² em Fortaleza, Blumenau",Rua Fritz Spernau,1054.0,750000.0,711.5749525616699,-26.885872,-49.0628642,Lote/Terreno,0,0,0
"Cobertura para comprar com 143 m², 3 quartos, 3 banheiros, 4 vagas em Velha, Blumenau",,143.0,920000.0,6433.566433566433,-27.0797576,-48.9100801,Cobertura,3,3,4
"Casa para comprar com 400 m², 3 quartos, 4 banheiros, 4 vagas em Água Verde, Blumenau",Rua Gustavo Poepper,400.0,800000.0,2000.0,-26.9123442,-49.1053608,Casa,3,4,4
