Localidade,Endereco,M2,Preco,R$/M2,Latitude,Longitude,Tipo,Quarto,Banheiro,Vaga
"Sala/Conjunto para comprar com 750 m², 6 banheiros, 11 vagas em Vila Nova, Blumenau",,750.0,4000000.0,5333.333333333333,-27.0797576,-48.9100801,Sala/Conjunto,0,6,11
"Apartamento para comprar com 319 m², 4 quartos, 6 banheiros, 4 vagas em Jardim Blumenau, Blumenau",Rua Frederico Guilherme Busch,319.0,2200000.0,6896.551724137931,-26.9283177,-49.0630777,Apartamento,4,6,4
"Lote/Terreno para comprar com 1005 m² em Itoupavazinha, Blumenau",,1005.0,250000.0,248.75621890547265,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 656 m² em Itoupava Central, Blumenau",Rua Gustavo Zimmermann,656.0,680000.0,1036.5853658536585,-26.8408309,-49.0893773,Lote/Terreno,0,0,0
"Apartamento para comprar com 122 m², 3 quartos, 2 banheiros, 1 vaga em Velha, Blumenau",Rua João Pessoa,122.0,600000.0,4918.0327868852455,-26.9240294,-49.1020425,Apartamento,3,2,1
"Apartamento para comprar com 136 m², 3 quartos, 3 banheiros, 3 vagas em Victor Konder, Blumenau",Rua Victor Konder,136.0,1450000.0,10661.764705882351,-26.9096961,-49.074207,Apartamento,3,3,3
"Apartamento para comprar com 118-130 m², 3 quartos, 2 banheiros, 2 vagas em Vila Formosa, Blumenau",Rua Hermann Huscher,130.0,1300000.0,10000.0,-26.9366946,-49.0694576,Apartamento,3,2,2
"Lote/Terreno para comprar com 336 m² em Fortaleza, Blumenau",Rua Helmuth Wandrey,336.0,280000.0,833.3333333333334,-26.8663816,-49.0729713,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 292 m² em Itoupava Norte, Blumenau",,292.0,597000.0,2044.5205479452052,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 55 m², 2 quartos, 1 banheiro, 1 vaga em Itoupava Central, Blumenau",,55.0,329000.0,5981.818181818182,-27.0797576,-48.9100801,Apartamento,2,1,1
"Lote/Terreno para comprar com 880 m² em Velha Central, Blumenau",,880.0,529000.0,601.1363636363636,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 3347 m² em Salto Weissbach, Blumenau",Rua Bahia,3347.0,1500000.0,448.16253361219,-26.9006639,-49.1441904,Lote/Terreno,0,0,0
"Casa para comprar com 76 m², 2 quartos, 2 banheiros, 1 vaga em Ribeirão Fresco, Blumenau",Rua dos Candangos,76.0,350000.0,4605.263157894737,-26.9272804,-49.0413614,Casa,2,2,1
"Casa para comprar com 200 m², 4 quartos, 4 banheiros, 4 vagas em Glória, Blumenau",Rua Maria da Silva Oliveira,200.0,519740.0,2598.7,-26.9677442,-49.0506414,Casa,4,4,4
"Lote/Terreno para comprar com 308 m² em Escola Agrícola, Blumenau",Rua José Deeke,308.0,480000.0,1558.4415584415583,-26.8890972,-49.1120059,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 3593 m² em Ponta Aguda, Blumenau",Rua República Argentina,3593.0,1500000.0,417.4784302811021,-26.9128134,-49.058704,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 9973 m² em Velha Central, Blumenau",Rua Hermann Barthel,9973.0,850000.0,85.23012132758448,-26.9278413,-49.1516966,Lote/Terreno,0,0,0
"Apartamento para comprar com 70 m², 3 quartos, 2 banheiros, 1 vaga em Água Verde, Blumenau",,70.0,480000.0,6857.142857142857,-27.0797576,-48.9100801,Apartamento,3,2,1
"Apartamento para comprar com 182-185 m², 3 quartos, 3 banheiros, 3 vagas em Victor Konder, Blumenau",Rua Victor Konder,185.0,2000000.0,10810.81081081081,-26.9096961,-49.074207,Apartamento,3,3,3
"Lote/Terreno para comprar com 347 m² em Itoupava Norte, Blumenau",,347.0,225000.0,648.4149855907781,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 126 m², 3 quartos, 2 banheiros, 2 vagas em Vila Nova, Blumenau",,126.0,803794.0,6379.31746031746,-27.0797576,-48.9100801,Apartamento,3,2,2
"Apartamento para comprar com 38 m², 2 quartos, 1 banheiro, 1 vaga em Progresso, Blumenau",Rua João Deola,38.0,235000.0,6184.210526315789,-26.9874747,-49.079381,Apartamento,2,1,1
"Apartamento para comprar com 68 m², 2 quartos, 2 banheiros, 1 vaga em Velha Central, Blumenau",,68.0,360000.0,5294.117647058823,-27.0797576,-48.9100801,Apartamento,2,2,1
"Apartamento para comprar com 129 m², 2 quartos, 3 banheiros, 2 vagas em Itoupava Seca, Blumenau",Rua Iguaçu,129.0,590000.0,4573.643410852713,-26.8997534,-49.0786942,Apartamento,2,3,2
"Lote/Terreno para comprar com 2659 m² em Salto do Norte, Blumenau",Rua Frieda Kruger,2659.0,1000000.0,376.081233546446,-26.8733047,-49.0996874,Lote/Terreno,0,0,0
"Casa para comprar com 160 m², 4 quartos, 4 banheiros, 5 vagas em Água Verde, Blumenau",,160.0,550000.0,3437.5,-27.0797576,-48.9100801,Casa,4,4,5
"Lote/Terreno para comprar com 2272 m² em Do Salto, Blumenau",Rua Dóris Fiamoncini,2272.0,580000.0,255.28169014084503,-26.8910978,-49.092125,Lote/Terreno,0,0,0
"Apartamento para comprar com 158 m², 3 quartos, 4 banheiros, 2 vagas em Velha Central, Blumenau",,158.0,1350000.0,8544.303797468354,-27.0797576,-48.9100801,Apartamento,3,4,2
"Apartamento para comprar com 152 m², 3 quartos, 4 banheiros, 2 vagas em Victor Konder, Blumenau",Rua Timbó,152.0,1350000.0,8881.578947368422,-26.909156,-49.0756143,Apartamento,3,4,2
"Apartamento para comprar com 257 m², 3 quartos, 5 banheiros, 4 vagas em Ponta Aguda, Blumenau",,257.0,1650000.0,6420.23346303502,-27.0797576,-48.9100801,Apartamento,3,5,4
"Apartamento para comprar com 197 m², 4 quartos, 5 banheiros, 3 vagas em Jardim Blumenau, Blumenau",Rua Lauro Mueller,197.0,3300000.0,16751.269035532994,-26.9291311,-49.063395,Apartamento,4,5,3
"Apartamento para comprar com 319 m², 4 quartos, 6 banheiros, 4 vagas em Jardim Blumenau, Blumenau",Rua Frederico Guilherme Busch,319.0,2200000.0,6896.551724137931,-26.9283177,-49.0630777,Apartamento,4,6,4
"Apartamento para comprar com 257 m², 3 quartos, 5 banheiros, 4 vagas em Ponta Aguda, Blumenau",,257.0,1650000.0,6420.23346303502,-27.0797576,-48.9100801,Apartamento,3,5,4
"Lote/Terreno para comprar com 702 m² em Itoupava Norte, Blumenau",,702.0,700000.0,997.1509971509972,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 73 m², 2 quartos, 2 banheiros, 1 vaga em Fortaleza, Blumenau",,73.0,640000.0,8767.123287671233,-27.0797576,-48.9100801,Apartamento,2,2,1
"Apartamento para comprar com 118 m², 2 quartos, 3 banheiros, 3 vagas em Jardim Blumenau, Blumenau",Rua Frederico Guilherme Busch,118.0,1150000.0,9745.762711864409,-26.9283177,-49.0630777,Apartamento,2,3,3
"Sala/Conjunto para comprar com 45 m², 1 banheiro, 1 vaga em Centro, Blumenau",Rua Alwin Schrader,45.0,340000.0,7555.555555555556,-26.9232075,-49.0544767,Sala/Conjunto,0,1,1
"Lote/Terreno para comprar com 3143 m² em Tribess, Blumenau",,3143.0,500000.0,159.0836780146357,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Prédio/Edificio inteiro para comprar com 5499 m², 6 banheiros, 120 vagas em Itoupava Norte, Blumenau",Rua Dois de Setembro,5499.0,15000000.0,2727.768685215494,-26.8762026,-49.0874096,Prédio/Edificio,0,6,120
"Apartamento para comprar com 63 m², 2 quartos, 2 banheiros, 1 vaga em Garcia, Blumenau",,63.0,460000.0,7301.587301587301,-27.0797576,-48.9100801,Apartamento,2,2,1
"Lote/Terreno para comprar com 570 m² em Salto do Norte, Blumenau",Rua Cinco de Outubro,570.0,420000.0,736.8421052631579,-26.869745,-49.0902772,Lote/Terreno,0,0,0
"Apartamento para comprar com 80 m², 1 quarto, 1 banheiro, 1 vaga em Itoupava Norte, Blumenau",Rua São Jerônimo,80.0,212000.0,2650.0,-26.8919094,-49.0743806,Apartamento,1,1,1
"Casa para comprar com 106 m², 2 quartos, 3 banheiros, 2 vagas em Velha, Blumenau",Rua Maria Bugmann,106.0,490000.0,4622.641509433963,-26.9139805,-49.113365,Casa,2,3,2
"Lote/Terreno para comprar com 2830 m² em Ribeirão Fresco, Blumenau",Rua Pastor Oswald Hesse,2830.0,1060000.0,374.5583038869258,-26.9265554,-49.0519544,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 449 m² em Escola Agrícola, Blumenau",Rua Júpiter,449.0,219000.0,487.75055679287306,-26.9067776,-49.1021916,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 574 m² em Tribess, Blumenau",,574.0,280000.0,487.8048780487805,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Sobrado para comprar com 68-70 m², 2 quartos, 2 banheiros, 2 vagas em Velha Central, Blumenau",,70.0,420000.0,6000.0,-27.0797576,-48.9100801,Sobrado,2,2,2
"Lote/Terreno para comprar com 262 m² em Itoupava Central, Blumenau",Rua Rudolfo Walter,262.0,195000.0,744.2748091603054,-26.8085709,-49.0999448,Lote/Terreno,0,0,0
"Apartamento para comprar com 38 m², 2 quartos, 1 banheiro, 1 vaga em Itoupava Central, Blumenau",,38.0,230000.0,6052.631578947368,-27.0797576,-48.9100801,Apartamento,2,1,1
"Lote/Terreno para comprar com 315 m² em Água Verde, Blumenau",,315.0,345600.0,1097.142857142857,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Sala/Conjunto para comprar com 116 m², 3 banheiros, 3 vagas em Centro, Blumenau",Rua Alwin Schrader,116.0,340000.0,2931.0344827586205,-26.9232075,-49.0544767,Sala/Conjunto,0,3,3
"Apartamento para comprar com 110 m², 3 quartos, 2 banheiros, 2 vagas em Velha, Blumenau",Rua Marechal Deodoro,110.0,692000.0,6290.909090909091,-26.9184744,-49.08989,Apartamento,3,2,2
